,file_name,event_id,time,action,payload_act,n_correct,n_incorrect
0,HRH2_TK_HW.txt_fixed,0,2015-11-16 21:47:16.000,,,0,0
1,HRH2_TK_HW.txt_fixed,1,2015-11-16 21:47:17.000,,,0,0
2,HRH2_TK_HW.txt_fixed,2,2015-11-16 21:47:18.000,,,0,0
3,HRH2_TK_HW.txt_fixed,3,2015-11-16 21:47:19.000,,,0,0
4,HRH2_TK_HW.txt_fixed,4,2015-11-16 21:47:20.000,,,0,0
5,HRH2_TK_HW.txt_fixed,5,2015-11-16 21:47:21.000,,,0,0
6,HRH2_TK_HW.txt_fixed,6,2015-11-16 21:47:22.000,,,0,0
7,HRH2_TK_HW.txt_fixed,7,2015-11-16 21:47:23.000,addingWP,,0,0
8,HRH2_TK_HW.txt_fixed,8,2015-11-16 21:47:25.000,,,0,0
9,HRH2_TK_HW.txt_fixed,9,2015-11-16 21:47:26.000,,,0,0
10,HRH2_TK_HW.txt_fixed,10,2015-11-16 21:47:27.000,,,0,0
11,HRH2_TK_HW.txt_fixed,11,2015-11-16 21:47:28.000,addingWP,,0,0
12,HRH2_TK_HW.txt_fixed,12,2015-11-16 21:47:29.000,,,0,0
13,HRH2_TK_HW.txt_fixed,13,2015-11-16 21:47:30.000,,,0,0
14,HRH2_TK_HW.txt_fixed,14,2015-11-16 21:47:31.000,,,0,0
15,HRH2_TK_HW.txt_fixed,15,2015-11-16 21:47:32.000,,,0,0
16,HRH2_TK_HW.txt_fixed,16,2015-11-16 21:47:33.000,,,0,0
17,HRH2_TK_HW.txt_fixed,17,2015-11-16 21:47:34.000,,,0,0
18,HRH2_TK_HW.txt_fixed,18,2015-11-16 21:47:35.000,,,0,0
19,HRH2_TK_HW.txt_fixed,19,2015-11-16 21:47:36.000,,,0,0
20,HRH2_TK_HW.txt_fixed,20,2015-11-16 21:47:37.000,,,0,0
21,HRH2_TK_HW.txt_fixed,21,2015-11-16 21:47:38.000,,,0,0
22,HRH2_TK_HW.txt_fixed,22,2015-11-16 21:47:39.000,,,0,0
23,HRH2_TK_HW.txt_fixed,23,2015-11-16 21:47:40.000,,,0,0
24,HRH2_TK_HW.txt_fixed,24,2015-11-16 21:47:41.000,addingWP,,0,0
25,HRH2_TK_HW.txt_fixed,25,2015-11-16 21:47:43.000,addingWP,,0,0
26,HRH2_TK_HW.txt_fixed,26,2015-11-16 21:47:44.000,,,0,0
27,HRH2_TK_HW.txt_fixed,27,2015-11-16 21:47:45.000,,,0,0
28,HRH2_TK_HW.txt_fixed,28,2015-11-16 21:47:46.000,,,0,0
29,HRH2_TK_HW.txt_fixed,29,2015-11-16 21:47:47.000,,,0,0
30,HRH2_TK_HW.txt_fixed,30,2015-11-16 21:47:48.000,,,0,0
31,HRH2_TK_HW.txt_fixed,31,2015-11-16 21:47:49.000,,,0,0
32,HRH2_TK_HW.txt_fixed,32,2015-11-16 21:47:50.000,,,0,0
33,HRH2_TK_HW.txt_fixed,33,2015-11-16 21:47:51.000,,,0,0
34,HRH2_TK_HW.txt_fixed,34,2015-11-16 21:47:52.000,,,0,0
35,HRH2_TK_HW.txt_fixed,35,2015-11-16 21:47:53.000,,,0,0
36,HRH2_TK_HW.txt_fixed,36,2015-11-16 21:47:54.000,,,0,0
37,HRH2_TK_HW.txt_fixed,37,2015-11-16 21:47:55.000,,,0,0
38,HRH2_TK_HW.txt_fixed,38,2015-11-16 21:47:56.000,,,0,0
39,HRH2_TK_HW.txt_fixed,39,2015-11-16 21:47:57.000,,,0,0
40,HRH2_TK_HW.txt_fixed,40,2015-11-16 21:47:58.000,,,0,0
41,HRH2_TK_HW.txt_fixed,41,2015-11-16 21:47:59.000,,,0,0
42,HRH2_TK_HW.txt_fixed,42,2015-11-16 21:48:00.000,,,0,0
43,HRH2_TK_HW.txt_fixed,43,2015-11-16 21:48:01.000,,,0,0
44,HRH2_TK_HW.txt_fixed,44,2015-11-16 21:48:03.000,,,0,0
45,HRH2_TK_HW.txt_fixed,45,2015-11-16 21:48:04.000,,,0,0
46,HRH2_TK_HW.txt_fixed,46,2015-11-16 21:48:05.000,,,0,0
47,HRH2_TK_HW.txt_fixed,47,2015-11-16 21:48:06.000,,,0,0
48,HRH2_TK_HW.txt_fixed,48,2015-11-16 21:48:07.000,,,0,0
49,HRH2_TK_HW.txt_fixed,49,2015-11-16 21:48:08.000,,,0,0
50,HRH2_TK_HW.txt_fixed,50,2015-11-16 21:48:09.000,,,0,0
51,HRH2_TK_HW.txt_fixed,51,2015-11-16 21:48:10.000,payload,,0,0
52,HRH2_TK_HW.txt_fixed,52,2015-11-16 21:48:11.000,payload,,0,0
53,HRH2_TK_HW.txt_fixed,53,2015-11-16 21:48:12.000,payload,,0,0
54,HRH2_TK_HW.txt_fixed,54,2015-11-16 21:48:13.000,payload,,0,0
55,HRH2_TK_HW.txt_fixed,55,2015-11-16 21:48:14.000,payload,,0,0
56,HRH2_TK_HW.txt_fixed,56,2015-11-16 21:48:15.000,payload,,0,0
57,HRH2_TK_HW.txt_fixed,57,2015-11-16 21:48:16.000,,1.0,1,0
58,HRH2_TK_HW.txt_fixed,58,2015-11-16 21:48:17.000,,,1,0
