,file_name,event_id,time,action,payload_act,n_correct,n_incorrect
0,HRP13_LW.txt_fixed,0,2015-05-12 17:37:17.000,,,0,0
1,HRP13_LW.txt_fixed,1,2015-05-12 17:37:18.000,,,0,0
2,HRP13_LW.txt_fixed,2,2015-05-12 17:37:19.000,,,0,0
3,HRP13_LW.txt_fixed,3,2015-05-12 17:37:20.000,setGoal,,0,0
4,HRP13_LW.txt_fixed,4,2015-05-12 17:37:21.000,,,0,0
5,HRP13_LW.txt_fixed,5,2015-05-12 17:37:22.000,,,0,0
6,HRP13_LW.txt_fixed,6,2015-05-12 17:37:23.000,,,0,0
7,HRP13_LW.txt_fixed,7,2015-05-12 17:37:24.000,,,0,0
8,HRP13_LW.txt_fixed,8,2015-05-12 17:37:25.000,addingWP,,0,0
9,HRP13_LW.txt_fixed,9,2015-05-12 17:37:26.000,,,0,0
10,HRP13_LW.txt_fixed,10,2015-05-12 17:37:28.000,,,0,0
11,HRP13_LW.txt_fixed,11,2015-05-12 17:37:29.000,,,0,0
12,HRP13_LW.txt_fixed,12,2015-05-12 17:37:30.000,,,0,0
13,HRP13_LW.txt_fixed,13,2015-05-12 17:37:31.000,,,0,0
14,HRP13_LW.txt_fixed,14,2015-05-12 17:37:32.000,,,0,0
15,HRP13_LW.txt_fixed,15,2015-05-12 17:37:33.000,,,0,0
16,HRP13_LW.txt_fixed,16,2015-05-12 17:37:34.000,,,0,0
17,HRP13_LW.txt_fixed,17,2015-05-12 17:37:35.000,setGoal,,0,0
18,HRP13_LW.txt_fixed,18,2015-05-12 17:37:36.000,setGoal,,0,0
19,HRP13_LW.txt_fixed,19,2015-05-12 17:37:37.000,setGoal,,0,0
20,HRP13_LW.txt_fixed,20,2015-05-12 17:37:38.000,setGoal,,0,0
21,HRP13_LW.txt_fixed,21,2015-05-12 17:37:39.000,setGoal,,0,0
22,HRP13_LW.txt_fixed,22,2015-05-12 17:37:40.000,setGoal,,0,0
23,HRP13_LW.txt_fixed,23,2015-05-12 17:37:41.000,payload,,0,0
24,HRP13_LW.txt_fixed,24,2015-05-12 17:37:42.000,payload,,0,0
25,HRP13_LW.txt_fixed,25,2015-05-12 17:37:43.000,payload,,0,0
26,HRP13_LW.txt_fixed,26,2015-05-12 17:37:44.000,payload,,0,0
27,HRP13_LW.txt_fixed,27,2015-05-12 17:37:45.000,,1.0,1,0
28,HRP13_LW.txt_fixed,28,2015-05-12 17:37:47.000,,,1,0
29,HRP13_LW.txt_fixed,29,2015-05-12 17:37:48.000,,,1,0
30,HRP13_LW.txt_fixed,30,2015-05-12 17:37:49.000,,,1,0
31,HRP13_LW.txt_fixed,31,2015-05-12 17:37:50.000,,,1,0
32,HRP13_LW.txt_fixed,32,2015-05-12 17:37:51.000,,,1,0
33,HRP13_LW.txt_fixed,33,2015-05-12 17:37:52.000,,,1,0
34,HRP13_LW.txt_fixed,34,2015-05-12 17:37:53.000,payload,,1,0
35,HRP13_LW.txt_fixed,35,2015-05-12 17:37:54.000,payload,,1,0
36,HRP13_LW.txt_fixed,36,2015-05-12 17:37:55.000,payload,,1,0
37,HRP13_LW.txt_fixed,37,2015-05-12 17:37:56.000,payload,,1,0
38,HRP13_LW.txt_fixed,38,2015-05-12 17:37:57.000,,1.0,1,1
39,HRP13_LW.txt_fixed,39,2015-05-12 17:37:58.000,,,1,1
40,HRP13_LW.txt_fixed,40,2015-05-12 17:37:59.000,,,1,1
41,HRP13_LW.txt_fixed,41,2015-05-12 17:38:00.000,,,1,1
42,HRP13_LW.txt_fixed,42,2015-05-12 17:38:01.000,,,1,1
43,HRP13_LW.txt_fixed,43,2015-05-12 17:38:02.000,,,1,1
44,HRP13_LW.txt_fixed,44,2015-05-12 17:38:03.000,,,1,1
45,HRP13_LW.txt_fixed,45,2015-05-12 17:38:04.000,,,1,1
46,HRP13_LW.txt_fixed,46,2015-05-12 17:38:05.000,,,1,1
47,HRP13_LW.txt_fixed,47,2015-05-12 17:38:06.000,,,1,1
48,HRP13_LW.txt_fixed,48,2015-05-12 17:38:07.000,setGoal,,1,1
49,HRP13_LW.txt_fixed,49,2015-05-12 17:38:08.000,,,1,1
50,HRP13_LW.txt_fixed,50,2015-05-12 17:38:10.000,,,1,1
51,HRP13_LW.txt_fixed,51,2015-05-12 17:38:11.000,,,1,1
52,HRP13_LW.txt_fixed,52,2015-05-12 17:38:12.000,,,1,1
53,HRP13_LW.txt_fixed,53,2015-05-12 17:38:13.000,,,1,1
54,HRP13_LW.txt_fixed,54,2015-05-12 17:38:14.000,,,1,1
55,HRP13_LW.txt_fixed,55,2015-05-12 17:38:15.000,,,1,1
56,HRP13_LW.txt_fixed,56,2015-05-12 17:38:16.000,setGoal,,1,1
57,HRP13_LW.txt_fixed,57,2015-05-12 17:38:17.000,,,1,1
58,HRP13_LW.txt_fixed,58,2015-05-12 17:38:18.000,,,1,1
59,HRP13_LW.txt_fixed,59,2015-05-12 17:38:19.000,,,1,1
60,HRP13_LW.txt_fixed,60,2015-05-12 17:38:20.000,,,1,1
61,HRP13_LW.txt_fixed,61,2015-05-12 17:38:21.000,,,1,1
62,HRP13_LW.txt_fixed,62,2015-05-12 17:38:22.000,,,1,1
63,HRP13_LW.txt_fixed,63,2015-05-12 17:38:23.000,,,1,1
64,HRP13_LW.txt_fixed,64,2015-05-12 17:38:24.000,addingWP,,1,1
65,HRP13_LW.txt_fixed,65,2015-05-12 17:38:25.000,addingWP,,1,1
66,HRP13_LW.txt_fixed,66,2015-05-12 17:38:26.000,addingWP,,1,1
67,HRP13_LW.txt_fixed,67,2015-05-12 17:38:27.000,,,1,1
68,HRP13_LW.txt_fixed,68,2015-05-12 17:38:28.000,,,1,1
69,HRP13_LW.txt_fixed,69,2015-05-12 17:38:30.000,,,1,1
70,HRP13_LW.txt_fixed,70,2015-05-12 17:38:31.000,,,1,1
71,HRP13_LW.txt_fixed,71,2015-05-12 17:38:32.000,,,1,1
72,HRP13_LW.txt_fixed,72,2015-05-12 17:38:33.000,,,1,1
73,HRP13_LW.txt_fixed,73,2015-05-12 17:38:34.000,,,1,1
74,HRP13_LW.txt_fixed,74,2015-05-12 17:38:35.000,,,1,1
75,HRP13_LW.txt_fixed,75,2015-05-12 17:38:36.000,,,1,1
76,HRP13_LW.txt_fixed,76,2015-05-12 17:38:37.000,,,1,1
77,HRP13_LW.txt_fixed,77,2015-05-12 17:38:38.000,,,1,1
78,HRP13_LW.txt_fixed,78,2015-05-12 17:38:39.000,,,1,1
79,HRP13_LW.txt_fixed,79,2015-05-12 17:38:40.000,,,1,1
80,HRP13_LW.txt_fixed,80,2015-05-12 17:38:41.000,,,1,1
81,HRP13_LW.txt_fixed,81,2015-05-12 17:38:42.000,,,1,1
82,HRP13_LW.txt_fixed,82,2015-05-12 17:38:43.000,,,1,1
83,HRP13_LW.txt_fixed,83,2015-05-12 17:38:44.000,,,1,1
84,HRP13_LW.txt_fixed,84,2015-05-12 17:38:45.000,,,1,1
85,HRP13_LW.txt_fixed,85,2015-05-12 17:38:46.000,,,1,1
86,HRP13_LW.txt_fixed,86,2015-05-12 17:38:47.000,,,1,1
87,HRP13_LW.txt_fixed,87,2015-05-12 17:38:48.000,,,1,1
88,HRP13_LW.txt_fixed,88,2015-05-12 17:38:50.000,,,1,1
89,HRP13_LW.txt_fixed,89,2015-05-12 17:38:51.000,,,1,1
90,HRP13_LW.txt_fixed,90,2015-05-12 17:38:52.000,,,1,1
91,HRP13_LW.txt_fixed,91,2015-05-12 17:38:53.000,,,1,1
92,HRP13_LW.txt_fixed,92,2015-05-12 17:38:54.000,,,1,1
93,HRP13_LW.txt_fixed,93,2015-05-12 17:38:55.000,,,1,1
94,HRP13_LW.txt_fixed,94,2015-05-12 17:38:56.000,,,1,1
95,HRP13_LW.txt_fixed,95,2015-05-12 17:38:57.000,,,1,1
96,HRP13_LW.txt_fixed,96,2015-05-12 17:38:58.000,,,1,1
97,HRP13_LW.txt_fixed,97,2015-05-12 17:38:59.000,,,1,1
98,HRP13_LW.txt_fixed,98,2015-05-12 17:39:00.000,,,1,1
99,HRP13_LW.txt_fixed,99,2015-05-12 17:39:01.000,,,1,1
100,HRP13_LW.txt_fixed,100,2015-05-12 17:39:02.000,,,1,1
101,HRP13_LW.txt_fixed,101,2015-05-12 17:39:03.000,,,1,1
102,HRP13_LW.txt_fixed,102,2015-05-12 17:39:04.000,,,1,1
103,HRP13_LW.txt_fixed,103,2015-05-12 17:39:05.000,,,1,1
104,HRP13_LW.txt_fixed,104,2015-05-12 17:39:06.000,,,1,1
105,HRP13_LW.txt_fixed,105,2015-05-12 17:39:07.000,,,1,1
106,HRP13_LW.txt_fixed,106,2015-05-12 17:39:08.000,,,1,1
107,HRP13_LW.txt_fixed,107,2015-05-12 17:39:09.000,,,1,1
