,file_name,event_id,time,action,payload_act,n_correct,n_incorrect
0,LRB3_LW.txt_fixed,0,2015-05-07 14:01:55.000,,,0,0
1,LRB3_LW.txt_fixed,1,2015-05-07 14:01:56.000,,,0,0
2,LRB3_LW.txt_fixed,2,2015-05-07 14:01:57.000,,,0,0
3,LRB3_LW.txt_fixed,3,2015-05-07 14:01:58.000,,,0,0
4,LRB3_LW.txt_fixed,4,2015-05-07 14:01:59.000,,,0,0
5,LRB3_LW.txt_fixed,5,2015-05-07 14:02:00.000,addingWP,,0,0
6,LRB3_LW.txt_fixed,6,2015-05-07 14:02:01.000,addingWP,,0,0
7,LRB3_LW.txt_fixed,7,2015-05-07 14:02:02.000,,,0,0
8,LRB3_LW.txt_fixed,8,2015-05-07 14:02:03.000,,,0,0
9,LRB3_LW.txt_fixed,9,2015-05-07 14:02:04.000,,,0,0
10,LRB3_LW.txt_fixed,10,2015-05-07 14:02:05.000,,,0,0
11,LRB3_LW.txt_fixed,11,2015-05-07 14:02:06.000,payload,,0,0
12,LRB3_LW.txt_fixed,12,2015-05-07 14:02:07.000,payload,,0,0
13,LRB3_LW.txt_fixed,13,2015-05-07 14:02:08.000,payload,,0,0
14,LRB3_LW.txt_fixed,14,2015-05-07 14:02:09.000,payload,,0,0
15,LRB3_LW.txt_fixed,15,2015-05-07 14:02:10.000,payload,,0,0
16,LRB3_LW.txt_fixed,16,2015-05-07 14:02:11.000,payload,0.0,0,0
17,LRB3_LW.txt_fixed,17,2015-05-07 14:02:12.000,payload,,0,0
18,LRB3_LW.txt_fixed,18,2015-05-07 14:02:13.000,payload,,0,0
19,LRB3_LW.txt_fixed,19,2015-05-07 14:02:14.000,payload,,0,0
20,LRB3_LW.txt_fixed,20,2015-05-07 14:02:15.000,payload,,0,0
21,LRB3_LW.txt_fixed,21,2015-05-07 14:02:16.000,payload,,0,0
22,LRB3_LW.txt_fixed,22,2015-05-07 14:02:17.000,,2.0,1,0
23,LRB3_LW.txt_fixed,23,2015-05-07 14:02:19.000,,,1,0
24,LRB3_LW.txt_fixed,24,2015-05-07 14:02:20.000,,,1,0
25,LRB3_LW.txt_fixed,25,2015-05-07 14:02:21.000,,,1,0
26,LRB3_LW.txt_fixed,26,2015-05-07 14:02:22.000,,,1,0
27,LRB3_LW.txt_fixed,27,2015-05-07 14:02:23.000,,,1,0
28,LRB3_LW.txt_fixed,28,2015-05-07 14:02:24.000,,,1,0
29,LRB3_LW.txt_fixed,29,2015-05-07 14:02:25.000,,,1,0
30,LRB3_LW.txt_fixed,30,2015-05-07 14:02:26.000,,,1,0
31,LRB3_LW.txt_fixed,31,2015-05-07 14:02:27.000,,,1,0
32,LRB3_LW.txt_fixed,32,2015-05-07 14:02:28.000,,,1,0
33,LRB3_LW.txt_fixed,33,2015-05-07 14:02:29.000,,,1,0
34,LRB3_LW.txt_fixed,34,2015-05-07 14:02:30.000,,,1,0
35,LRB3_LW.txt_fixed,35,2015-05-07 14:02:31.000,,,1,0
36,LRB3_LW.txt_fixed,36,2015-05-07 14:02:32.000,,,1,0
37,LRB3_LW.txt_fixed,37,2015-05-07 14:02:33.000,,,1,0
38,LRB3_LW.txt_fixed,38,2015-05-07 14:02:34.000,,,1,0
39,LRB3_LW.txt_fixed,39,2015-05-07 14:02:35.000,,,1,0
40,LRB3_LW.txt_fixed,40,2015-05-07 14:02:36.000,,,1,0
41,LRB3_LW.txt_fixed,41,2015-05-07 14:02:37.000,,,1,0
42,LRB3_LW.txt_fixed,42,2015-05-07 14:02:39.000,,,1,0
43,LRB3_LW.txt_fixed,43,2015-05-07 14:02:40.000,,,1,0
44,LRB3_LW.txt_fixed,44,2015-05-07 14:02:41.000,,,1,0
45,LRB3_LW.txt_fixed,45,2015-05-07 14:02:42.000,,,1,0
46,LRB3_LW.txt_fixed,46,2015-05-07 14:02:43.000,,,1,0
47,LRB3_LW.txt_fixed,47,2015-05-07 14:02:44.000,,,1,0
48,LRB3_LW.txt_fixed,48,2015-05-07 14:02:45.000,,,1,0
49,LRB3_LW.txt_fixed,49,2015-05-07 14:02:46.000,,,1,0
50,LRB3_LW.txt_fixed,50,2015-05-07 14:02:47.000,,,1,0
51,LRB3_LW.txt_fixed,51,2015-05-07 14:02:48.000,,,1,0
52,LRB3_LW.txt_fixed,52,2015-05-07 14:02:49.000,,,1,0
53,LRB3_LW.txt_fixed,53,2015-05-07 14:02:50.000,,,1,0
54,LRB3_LW.txt_fixed,54,2015-05-07 14:02:51.000,,,1,0
55,LRB3_LW.txt_fixed,55,2015-05-07 14:02:52.000,,,1,0
56,LRB3_LW.txt_fixed,56,2015-05-07 14:02:53.000,,,1,0
57,LRB3_LW.txt_fixed,57,2015-05-07 14:02:54.000,,,1,0
58,LRB3_LW.txt_fixed,58,2015-05-07 14:02:55.000,,,1,0
59,LRB3_LW.txt_fixed,59,2015-05-07 14:02:56.000,,,1,0
60,LRB3_LW.txt_fixed,60,2015-05-07 14:02:57.000,,,1,0
61,LRB3_LW.txt_fixed,61,2015-05-07 14:02:58.000,,,1,0
62,LRB3_LW.txt_fixed,62,2015-05-07 14:02:59.000,,,1,0
63,LRB3_LW.txt_fixed,63,2015-05-07 14:03:00.000,,,1,0
64,LRB3_LW.txt_fixed,64,2015-05-07 14:03:02.000,,,1,0
65,LRB3_LW.txt_fixed,65,2015-05-07 14:03:03.000,,,1,0
66,LRB3_LW.txt_fixed,66,2015-05-07 14:03:04.000,,,1,0
67,LRB3_LW.txt_fixed,67,2015-05-07 14:03:05.000,,,1,0
68,LRB3_LW.txt_fixed,68,2015-05-07 14:03:06.000,,,1,0
69,LRB3_LW.txt_fixed,69,2015-05-07 14:03:07.000,,,1,0
70,LRB3_LW.txt_fixed,70,2015-05-07 14:03:08.000,,,1,0
71,LRB3_LW.txt_fixed,71,2015-05-07 14:03:09.000,,,1,0
72,LRB3_LW.txt_fixed,72,2015-05-07 14:03:10.000,,,1,0
73,LRB3_LW.txt_fixed,73,2015-05-07 14:03:11.000,,,1,0
74,LRB3_LW.txt_fixed,74,2015-05-07 14:03:12.000,,,1,0
75,LRB3_LW.txt_fixed,75,2015-05-07 14:03:13.000,,,1,0
76,LRB3_LW.txt_fixed,76,2015-05-07 14:03:14.000,,,1,0
77,LRB3_LW.txt_fixed,77,2015-05-07 14:03:15.000,,,1,0
78,LRB3_LW.txt_fixed,78,2015-05-07 14:03:16.000,,,1,0
