,file_name,event_id,time,action,payload_act,n_correct,n_incorrect
0,LRC9_HW.txt_fixed,0,2015-05-06 15:50:38.000,,,0,0
1,LRC9_HW.txt_fixed,1,2015-05-06 15:50:39.000,,,0,0
2,LRC9_HW.txt_fixed,2,2015-05-06 15:50:40.000,,,0,0
3,LRC9_HW.txt_fixed,3,2015-05-06 15:50:41.000,,,0,0
4,LRC9_HW.txt_fixed,4,2015-05-06 15:50:42.000,,,0,0
5,LRC9_HW.txt_fixed,5,2015-05-06 15:50:43.000,addingWP,,0,0
6,LRC9_HW.txt_fixed,6,2015-05-06 15:50:44.000,addingWP,,0,0
7,LRC9_HW.txt_fixed,7,2015-05-06 15:50:45.000,addingWP,,0,0
8,LRC9_HW.txt_fixed,8,2015-05-06 15:50:46.000,,,0,0
9,LRC9_HW.txt_fixed,9,2015-05-06 15:50:47.000,,,0,0
10,LRC9_HW.txt_fixed,10,2015-05-06 15:50:48.000,,,0,0
11,LRC9_HW.txt_fixed,11,2015-05-06 15:50:49.000,addingWP,,0,0
12,LRC9_HW.txt_fixed,12,2015-05-06 15:50:51.000,,,0,0
13,LRC9_HW.txt_fixed,13,2015-05-06 15:50:52.000,,,0,0
14,LRC9_HW.txt_fixed,14,2015-05-06 15:50:53.000,,,0,0
15,LRC9_HW.txt_fixed,15,2015-05-06 15:50:54.000,,,0,0
16,LRC9_HW.txt_fixed,16,2015-05-06 15:50:55.000,,,0,0
17,LRC9_HW.txt_fixed,17,2015-05-06 15:50:56.000,setGoal,,0,0
18,LRC9_HW.txt_fixed,18,2015-05-06 15:50:57.000,,,0,0
19,LRC9_HW.txt_fixed,19,2015-05-06 15:50:58.000,,,0,0
20,LRC9_HW.txt_fixed,20,2015-05-06 15:50:59.000,,,0,0
21,LRC9_HW.txt_fixed,21,2015-05-06 15:51:00.000,setGoal,,0,0
22,LRC9_HW.txt_fixed,22,2015-05-06 15:51:01.000,setGoal,,0,0
23,LRC9_HW.txt_fixed,23,2015-05-06 15:51:02.000,setGoal,,0,0
24,LRC9_HW.txt_fixed,24,2015-05-06 15:51:03.000,setGoal,,0,0
25,LRC9_HW.txt_fixed,25,2015-05-06 15:51:04.000,addingWP,,0,0
26,LRC9_HW.txt_fixed,26,2015-05-06 15:51:05.000,addingWP,,0,0
27,LRC9_HW.txt_fixed,27,2015-05-06 15:51:06.000,addingWP,,0,0
28,LRC9_HW.txt_fixed,28,2015-05-06 15:51:07.000,addingWP,,0,0
29,LRC9_HW.txt_fixed,29,2015-05-06 15:51:08.000,addingWP,,0,0
30,LRC9_HW.txt_fixed,30,2015-05-06 15:51:09.000,addingWP,,0,0
31,LRC9_HW.txt_fixed,31,2015-05-06 15:51:10.000,addingWP,,0,0
32,LRC9_HW.txt_fixed,32,2015-05-06 15:51:12.000,addingWP,,0,0
33,LRC9_HW.txt_fixed,33,2015-05-06 15:51:13.000,addingWP,,0,0
34,LRC9_HW.txt_fixed,34,2015-05-06 15:51:14.000,addingWP,,0,0
35,LRC9_HW.txt_fixed,35,2015-05-06 15:51:15.000,payload,,0,0
36,LRC9_HW.txt_fixed,36,2015-05-06 15:51:16.000,payload,,0,0
37,LRC9_HW.txt_fixed,37,2015-05-06 15:51:17.000,payload,,0,0
