,file_name,event_id,time,action,payload_act,n_correct,n_incorrect
0,HRH10_US_LW.txt_fixed,0,2015-10-14 05:33:00.000,,,0,0
1,HRH10_US_LW.txt_fixed,1,2015-10-14 05:33:02.000,addingWP,,0,0
2,HRH10_US_LW.txt_fixed,2,2015-10-14 05:33:03.000,,,0,0
3,HRH10_US_LW.txt_fixed,3,2015-10-14 05:33:04.000,,,0,0
4,HRH10_US_LW.txt_fixed,4,2015-10-14 05:33:05.000,,,0,0
5,HRH10_US_LW.txt_fixed,5,2015-10-14 05:33:06.000,addingWP,,0,0
6,HRH10_US_LW.txt_fixed,6,2015-10-14 05:33:07.000,addingWP,,0,0
7,HRH10_US_LW.txt_fixed,7,2015-10-14 05:33:08.000,,,0,0
8,HRH10_US_LW.txt_fixed,8,2015-10-14 05:33:09.000,,,0,0
9,HRH10_US_LW.txt_fixed,9,2015-10-14 05:33:10.000,,,0,0
10,HRH10_US_LW.txt_fixed,10,2015-10-14 05:33:11.000,addingWP,,0,0
11,HRH10_US_LW.txt_fixed,11,2015-10-14 05:33:12.000,addingWP,,0,0
12,HRH10_US_LW.txt_fixed,12,2015-10-14 05:33:13.000,addingWP,,0,0
13,HRH10_US_LW.txt_fixed,13,2015-10-14 05:33:14.000,,,0,0
14,HRH10_US_LW.txt_fixed,14,2015-10-14 05:33:15.000,,,0,0
15,HRH10_US_LW.txt_fixed,15,2015-10-14 05:33:16.000,,,0,0
16,HRH10_US_LW.txt_fixed,16,2015-10-14 05:33:17.000,,,0,0
17,HRH10_US_LW.txt_fixed,17,2015-10-14 05:33:18.000,addingWP,,0,0
18,HRH10_US_LW.txt_fixed,18,2015-10-14 05:33:20.000,,,0,0
19,HRH10_US_LW.txt_fixed,19,2015-10-14 05:33:21.000,,,0,0
20,HRH10_US_LW.txt_fixed,20,2015-10-14 05:33:22.000,,,0,0
21,HRH10_US_LW.txt_fixed,21,2015-10-14 05:33:23.000,addingWP,,0,0
22,HRH10_US_LW.txt_fixed,22,2015-10-14 05:33:24.000,addingWP,,0,0
23,HRH10_US_LW.txt_fixed,23,2015-10-14 05:33:25.000,,,0,0
24,HRH10_US_LW.txt_fixed,24,2015-10-14 05:33:26.000,,,0,0
25,HRH10_US_LW.txt_fixed,25,2015-10-14 05:33:27.000,,,0,0
26,HRH10_US_LW.txt_fixed,26,2015-10-14 05:33:28.000,addingWP,,0,0
27,HRH10_US_LW.txt_fixed,27,2015-10-14 05:33:29.000,,,0,0
28,HRH10_US_LW.txt_fixed,28,2015-10-14 05:33:30.000,,,0,0
29,HRH10_US_LW.txt_fixed,29,2015-10-14 05:33:31.000,,,0,0
30,HRH10_US_LW.txt_fixed,30,2015-10-14 05:33:32.000,,,0,0
31,HRH10_US_LW.txt_fixed,31,2015-10-14 05:33:33.000,,,0,0
32,HRH10_US_LW.txt_fixed,32,2015-10-14 05:33:34.000,,,0,0
33,HRH10_US_LW.txt_fixed,33,2015-10-14 05:33:35.000,,,0,0
34,HRH10_US_LW.txt_fixed,34,2015-10-14 05:33:36.000,,,0,0
35,HRH10_US_LW.txt_fixed,35,2015-10-14 05:33:37.000,,,0,0
